canonical_name,old_dog_severity,new_dog_severity,old_cat_severity,new_cat_severity,rule_applied,occurrence_count
poultry_heart,neutral,caution,neutral,caution,R11a-unnamed-organ,7
poultry_liver,neutral,caution,neutral,caution,R11a-unnamed-organ,19
poultry_meal,neutral,caution,neutral,caution,R2-unnamed-meat,5
red_#3,neutral,caution,neutral,caution,R1-colorant,27
red_#40,neutral,caution,neutral,caution,R1-colorant,167
red_iron_oxide_color,neutral,caution,neutral,caution,"R1-colorant, R10-inherit(iron_oxide)",3
sardine,neutral,good,neutral,good,R3-named-protein,55
sea_salt,neutral,caution,neutral,caution,R10-inherit(salt),65
sodium_chloride,neutral,caution,neutral,caution,R10-inherit(salt),0
sodium_chloride_0.1%,neutral,caution,neutral,caution,R10-inherit(salt),5
sorbic_acid_brown_sugar_flavor,neutral,caution,neutral,caution,R10-inherit(sugar),0
sorbitol_fructose,neutral,caution,neutral,caution,R10-inherit(sugar),1
soy_free,neutral,caution,neutral,caution,R10-inherit(soy),2
soybean,neutral,caution,neutral,caution,R10-inherit(soy),3
soybean_flour,neutral,caution,neutral,caution,R10-inherit(soy),2
soybean_germ_meal,neutral,caution,neutral,caution,R10-inherit(soy),2
soybean_hulls,neutral,caution,neutral,caution,R10-inherit(soy),26
soybean_meal,neutral,caution,neutral,caution,R10-inherit(soy),244
soybean_mill_run,neutral,caution,neutral,caution,R10-inherit(soy),6
soybean_oil,neutral,caution,neutral,caution,R10-inherit(soy),0
soybean_powder,neutral,caution,neutral,caution,R10-inherit(soy),2
soybean_protein,neutral,caution,neutral,caution,R10-inherit(soy),2
soybeanmeal,neutral,caution,neutral,caution,R10-inherit(soy),0
soybeanoil,neutral,caution,neutral,caution,R10-inherit(soy),1
spray_dried_animal_blood_cells,neutral,caution,neutral,caution,R2-unnamed-meat,18
sucrose,neutral,caution,neutral,caution,R10-inherit(sugar),8
synthetic_iron_oxide,neutral,caution,neutral,caution,"R1-colorant, R10-inherit(iron_oxide)",2
textured_soy_protein,neutral,caution,neutral,caution,R10-inherit(soy),2
textured_soy_protein_product,neutral,caution,neutral,caution,R10-inherit(soy),1
tuna,neutral,good,neutral,good,R3-named-protein,715
vegetable_broth,neutral,caution,neutral,caution,R11b-unnamed-fat,29
vegetable_oil,neutral,caution,neutral,caution,"R11b-unnamed-fat, R9-unnamed-oil",234
vital_wheat_gluten,neutral,neutral,neutral,caution,R10-inherit(wheat),19
"vitamins,_folic_acid,_biotin)_carrageenan",neutral,caution,neutral,caution,R10-inherit(carrageenan),0
"vitamins,_menadione_sodium_bisulfite_complex",neutral,caution,neutral,caution,R10-inherit(menadione),0
whole_corn,neutral,neutral,neutral,caution,R10-inherit(corn),0
whole_grain_ground_corn,neutral,neutral,neutral,caution,R10-inherit(corn),0
whole_ground_corn,neutral,neutral,neutral,caution,R10-inherit(corn),0
whole_ground_wheat,neutral,neutral,neutral,caution,R10-inherit(wheat),0
whole_wheat,neutral,neutral,neutral,caution,R10-inherit(wheat),0
whole_wheat_flour,neutral,neutral,neutral,caution,R10-inherit(wheat),6
yellow_#5,neutral,caution,neutral,caution,R1-colorant,0
yellow_#5._prime_rib,neutral,caution,neutral,caution,R1-colorant,1
yellow_#6,neutral,caution,neutral,caution,R1-colorant,129
