family,canonical_name,dog_base_severity,cat_base_severity,occurrence_count
541.4_kcal/kg,541.4_kcal/kg,neutral,neutral,1
559_kcal/kg,559_kcal/kg,neutral,neutral,1
630_kcal/kg,630_kcal/kg,neutral,neutral,1
6_count,6_count,neutral,neutral,1
6_count,6_count_+_tuna_puree_lickable_cat_treats,neutral,neutral,1
6_count,6_count_+_salmon_puree_lickabletreats,neutral,neutral,1
72.2_kcal/treat,72.2_kcal/treat,neutral,neutral,1
730.5_kcal/kg,730.5_kcal/kg,neutral,neutral,1
7_kcal/treat,7_kcal/treat,neutral,neutral,1
7_kcalchip,7_kcalchip_,neutral,neutral,1
824_kcal/kg,824_kcal/kg,neutral,neutral,1
874.8_kcal/kg,874.8_kcal/kg,neutral,neutral,1
8_kcalchip,8_kcalchip_,neutral,neutral,2
8_oz,8_oz_tub,neutral,neutral,2
95_kcal/tray,95_kcal/tray,neutral,neutral,1
96.0%,96.0%,neutral,neutral,1
969_kcal/kg,969_kcal/kg,neutral,neutral,1
?canola?oil,?canola?oil,neutral,neutral,1
a,a,neutral,neutral,3
a_healthy,a_healthy_immune_system,neutral,neutral,1
a_shiny,a_shiny_coat,neutral,neutral,3
acadian_redfish,acadian_redfish,neutral,neutral,5
acetate,acetate,neutral,neutral,1
acetic_acid,acetic_acid,neutral,neutral,1
activated_charcoal,activated_charcoal,neutral,neutral,1
active_ingredients,active_ingredients_per_4_chews,neutral,neutral,1
active_ingredients,active_ingredients_proprietary_blend_of,neutral,neutral,1
added_color,added_color,caution,caution,230
added_sugar,added_sugar,caution,caution,2
additives,additives,neutral,neutral,1
agar,agar,neutral,neutral,7
alask_pollock,alask_pollock,neutral,neutral,1
alaska_pollock,alaska_pollock_meal,neutral,neutral,8
alaskan_salmon,alaskan_salmon,neutral,neutral,1
alfalfa_concentrate,alfalfa_concentrate,neutral,neutral,2
alfalfa_extract,alfalfa_extract,neutral,neutral,5
alfalfa_meal,alfalfa_meal,good,good,132
alfalfa_nutrient,alfalfa_nutrient_concentrate,good,good,95
alfalfa_pellets,alfalfa_pellets,neutral,neutral,1
algae_meal,algae_meal,neutral,neutral,1
algae_oil,algae_oil,neutral,neutral,2
algae_powder,algae_powder,neutral,neutral,2
all_natural,all_natural_beef,neutral,neutral,1
almonds,almonds,neutral,neutral,7
aloe_vera,aloe_vera_gel_concentrate,neutral,neutral,20
aloe_vera,aloe_vera_extract,neutral,neutral,3
althea_root,althea_root,neutral,neutral,42
although_they,although_they_only_last_about_ten_minutes_max,neutral,neutral,1
american_raised,american_raised_beef,neutral,neutral,1
amino_acid,l_lysine_monohydrochloride,neutral,neutral,4
amino_acid,l_lysine_hydrochloride,neutral,neutral,4
amino_acid,amino_acid,neutral,neutral,2
amino_acid,dl_methionine_hydroxy_analogue,neutral,good,1
amino_acid,amino_acid_complex,neutral,neutral,1
amino_acid,amino_acid_chelate,neutral,neutral,1
anchovies,anchovies,neutral,neutral,9
anchovy,anchovy,neutral,neutral,1
anchovy_&,anchovy_&_sardine_meal,neutral,neutral,1
anchovy_meal,anchovy_meal,neutral,neutral,2
and_artifiical,and_artifiical_flavor,neutral,neutral,1
and_d,and_d_for_skin_and_coat_support,neutral,neutral,1
and_d,and_d,neutral,neutral,1
and_dogs,and_dogs_of_all_ages_and_sizes—without_the_mess_or_smell,neutral,neutral,1
and_energy,and_energy_levels,neutral,neutral,1
and_fd&c,and_fd&c_red_#40,caution,caution,1
and_flavors;,and_flavors;_contains_no_corn,neutral,caution,2
and_gmos,and_gmos,neutral,neutral,1
and_heart,and_heart_health,neutral,neutral,3
and_minerals,and_minerals,neutral,neutral,2
and_mixed,and_mixed_tocopherols,neutral,neutral,2
and_more,and_more,neutral,neutral,1
and_mushrooms,and_mushrooms_boosted_with_milk_thistle,neutral,neutral,1
and_overall,and_overall_health,neutral,neutral,3
and_overall,and_overall_well_being,neutral,neutral,1
and_rawhide,and_rawhide_free,neutral,neutral,1
and_rennet,and_rennet,neutral,neutral,1
"and_salt.""","and_salt.""",neutral,neutral,1
and_sea,and_sea_salt,caution,caution,1
and_the,and_the_chicken_&_beef_59_calories_per_can,neutral,neutral,1
and_they’re,and_they’re_made_without_artificial_colors,caution,caution,1
and_vitamin,and_vitamin_d3,neutral,neutral,1
and_vitamins,and_vitamins_a,neutral,neutral,2
angus_beef,angus_beef_flavor,neutral,neutral,3
animal_by,animal_by_products,neutral,neutral,1
animal_fat,animal_fat_preserved_with_mixed_tocopherols,caution,caution,67
animal_liver,animal_liver,caution,caution,51
animal_liver,animal_liver_flavor,neutral,neutral,11
animal_plasma,animal_plasma,caution,caution,133
animal_protein,animal_protein,neutral,neutral,1
animal_testing,animal_testing,neutral,neutral,1
anise_oil,anise_oil,neutral,neutral,3
annatto,annatto,neutral,neutral,4
annatto_color,annatto_color,neutral,neutral,9
annatto_extract,annatto_extract,neutral,neutral,27
annatto_extract,annatto_extract_color,neutral,neutral,12
applaws_chicken,applaws_chicken_puree_lickable_cat_treats,neutral,neutral,1
apple,apple,neutral,neutral,90
apple_7%,apple_7%,neutral,neutral,1
apple_and,apple_and_banana_flavors,neutral,neutral,1
apple_cider,apple_cider_vinegar,neutral,neutral,81
apple_cider,apple_cider_vinegar_powder,neutral,neutral,1
apple_cinnamon,apple_cinnamon_flavor,neutral,neutral,1
apple_fiber,apple_fiber,neutral,neutral,2
apple_juice,apple_juice,neutral,neutral,3
apple_pectin,apple_pectin,neutral,neutral,6
apple_pomace,apple_pomace,neutral,neutral,36
apple_powder,apple_powder,neutral,neutral,5
apple_sauce,apple_sauce,neutral,neutral,1
applesauce,applesauce,neutral,neutral,11
apricot,apricot,neutral,neutral,17
arctic_char,arctic_char,neutral,neutral,2
arrowroot,arrowroot,neutral,neutral,2
artichokes,artichokes,neutral,neutral,33
artificial_and,artificial_and_natural_flavors,neutral,neutral,235
artificial_bacon,artificial_bacon_flavor,neutral,neutral,4
artificial_beef,artificial_beef_flavor,caution,caution,4
artificial_birthday,artificial_birthday_cake_flavor,neutral,neutral,1
artificial_cheddar,artificial_cheddar_cheese_flavor,neutral,neutral,1
artificial_cheese,artificial_cheese_flavor,neutral,neutral,1
artificial_chicken,artificial_chicken_flavor,caution,caution,12
artificial_color,artificial_color,caution,caution,6
artificial_coloring,artificial_coloring,caution,caution,1
artificial_colors,artificial_colors,caution,caution,1
artificial_flavor,artificial_flavor,caution,caution,13
artificial_flavoring,artificial_flavoring,neutral,neutral,3
artificial_flavors,artificial_flavors,caution,caution,31
artificial_gingerbread,artificial_gingerbread_flavor,neutral,neutral,1
artificial_marshmallow,artificial_marshmallow_flavor,neutral,neutral,1
artificial_milk,artificial_milk_flavor,caution,caution,7
artificial_peanut,artificial_peanut_butter_flavor,neutral,neutral,6
artificial_peanut,artificial_peanut_flavor,neutral,neutral,3
artificial_pork,artificial_pork_flavor,neutral,neutral,3
artificial_preservatives,artificial_preservatives,neutral,neutral,1
artificial_pumpkin,artificial_pumpkin_flavor,neutral,neutral,1
artificial_salmon,artificial_salmon_flavor,neutral,neutral,1
artificial_smoke,artificial_smoke_flavor,neutral,neutral,2
artificil_flavoring,artificil_flavoring,neutral,neutral,1
artiﬁcial_chicken,artiﬁcial_chicken_flavor,neutral,neutral,1
ascorbic,ascorbic,neutral,neutral,1
ascorbic_add,ascorbic_add,neutral,neutral,1
ashwagandha,ashwagandha,neutral,neutral,7
attapulgite_clay,attapulgite_clay,neutral,neutral,1
avocado,avocado,neutral,neutral,15
avocado_meal,avocado_meal,neutral,neutral,1
avocado_oil,avocado_oil,neutral,neutral,17
b,b,neutral,neutral,1
b1,b1,neutral,neutral,2
b12,b12,neutral,neutral,6
b12,b12_supplement,neutral,neutral,2
b2,b2,neutral,neutral,2
b5,b5,neutral,neutral,2
b6,b6,neutral,neutral,2
b7,b7,neutral,neutral,2
b9,b9,neutral,neutral,2
baby_bluebells,baby_bluebells_chicken___chicken_broth,neutral,neutral,1
bacon,bacon,neutral,neutral,84
bacon_broth,bacon_broth,neutral,neutral,2
bacon_fat,bacon_fat,neutral,neutral,25
bacon_fat,bacon_fat_powder,neutral,neutral,1
bacon_flavor,bacon_flavor,neutral,neutral,53
bacon_flavoring,bacon_flavoring,neutral,neutral,1
bacon_powder,bacon_powder,neutral,neutral,1
bacon_type,bacon_type_flavor,neutral,neutral,1
baking_powder,baking_powder,neutral,neutral,3
baking_soda,baking_soda,neutral,neutral,3
bamboo_fiber,bamboo_fiber,neutral,neutral,5
bamboo_fiber,bamboo_fiber_1.0%,neutral,neutral,2
banana,banana,neutral,neutral,13
banana_flavor,banana_flavor,neutral,neutral,3
banana_flour,banana_flour,neutral,neutral,1
banana_powder,banana_powder,neutral,neutral,6
barbecue_flavor,barbecue_flavor,neutral,neutral,1
barely,barely,neutral,neutral,2
barley_&,barley_&_spinach_variety_pack_adult_wet_dog_food_meal_topper,neutral,caution,4
barley_&,barley_&_spinach_limited_ingredient_wet_dog_food_topper,neutral,caution,4
barley_flour,barley_flour,neutral,neutral,27
barley_flour,barley_flour_whole_stone_ground,neutral,neutral,1
barley_grass,barley_grass,neutral,neutral,91
barley_grass,barley_grass_powder,neutral,neutral,5
barley_grass,barley_grass_extract,neutral,neutral,1
barley_malt,barley_malt_syrup,neutral,neutral,77
basa,basa,neutral,neutral,5
basil,basil,neutral,neutral,5
bbq_flavor,bbq_flavor,neutral,neutral,1
beef_&,beef_&_bone_meal,neutral,neutral,4
beef_&,beef_&_carrotssee_available_optionschicken,neutral,neutral,2
beef_&,beef_&_carrots,neutral,neutral,1
beef_55%,beef_55%,neutral,neutral,1
beef_and,beef_and_bone_meal,neutral,neutral,4
beef_and,beef_and_chicken_broth,neutral,neutral,4
beef_and,beef_and_pork_broth,neutral,neutral,1
beef_bone,beef_bone,neutral,neutral,20
beef_bone,beef_bone_broth_powder,neutral,neutral,2
beef_bones,beef_bones,neutral,neutral,2
beef_brisket,beef_brisket,neutral,neutral,1
beef_brisket,beef_brisket_flavor,neutral,neutral,1
beef_by,beef_by_product,neutral,neutral,5
beef_cartilage,beef_cartilage,neutral,neutral,7
beef_cheek,beef_cheek,neutral,neutral,1
beef_collagen,beef_collagen,neutral,neutral,3
beef_deboned,beef_deboned,neutral,neutral,2
beef_ear,beef_ear,neutral,neutral,2
beef_fat,beef_fat_naturally_preserved_with_mixed_tocopherols,neutral,neutral,3
beef_fat,beef_fat_preserved_with_mixedtocopherols,neutral,neutral,3
beef_femur,beef_femur_bone,neutral,neutral,1
beef_flavor,beef_flavor,neutral,neutral,9
beef_flavoring,beef_flavoring,neutral,neutral,3
beef_gelatin,beef_gelatin,neutral,neutral,21
beef_gelatine,beef_gelatine,neutral,neutral,1
beef_hearts,beef_hearts,neutral,neutral,7
beef_hide,beef_hide,neutral,neutral,23
beef_hoof,beef_hoof,neutral,neutral,1
beef_hydrolysate,beef_hydrolysate,neutral,neutral,1
beef_jerky,beef_jerky,neutral,neutral,1
beef_marrow,beef_marrow,neutral,neutral,1
beef_pizzle,beef_pizzle,neutral,neutral,2
beef_plasma,beef_plasma,neutral,neutral,13
beef_spleen,beef_spleen,neutral,neutral,16
beef_stock,beef_stock,neutral,neutral,2
beef_stomach,beef_stomach,neutral,neutral,1
beef_tallow,beef_tallow,neutral,neutral,25
beef_tallow,beef_tallow_naturally_preserved_with_mixed_tocopherols,neutral,neutral,1
beef_trim,beef_trim,neutral,neutral,1
beef_with,beef_with_ground_bone,neutral,neutral,2
beefhide,beefhide,neutral,neutral,8
beet,beet,neutral,neutral,6
beet_extract,beet_extract,neutral,neutral,1
beet_fiber,beet_fiber,neutral,neutral,24
beet_greens,beet_greens,neutral,neutral,7
beet_juice,beet_juice,neutral,neutral,3
beet_powder,beet_powder,neutral,neutral,1
beets,beets,neutral,neutral,47
beets_and,beets_and_organic_beet_fiber,neutral,neutral,1
bell_pepper,bell_pepper,neutral,neutral,2
bell_pepper,bell_pepper_powder,neutral,neutral,1
belp1_d,belp1_d,neutral,neutral,1
betaine,betaine,neutral,neutral,20
betaine,betaine_hydrochloride,neutral,neutral,3
betaine_anhydrous,betaine_anhydrous,neutral,neutral,14
bha_and,bha_and_citric_acid,caution,caution,1
bifido_bacterium,bifido_bacterium_bifidium_fermentation_product,neutral,neutral,1
bifido_bacterium,bifido_bacterium_bifidium_thermophilum_fermentation_product,neutral,neutral,1
bifido_bacterium,bifido_bacterium_thermophilum_fermentation_product,neutral,neutral,1
biotin,d_biotin_0.001%,neutral,neutral,5
biotin,biotin_supplement,neutral,neutral,1
biotin,and_biotin,neutral,neutral,1
biotin,biotin_minerals,neutral,neutral,1
biotin,biotin_chicken_chicken,neutral,neutral,1
biotin,biotin_carrageenan,caution,caution,1
biotin,biotin_vitamin_b12,neutral,neutral,1
biotin,biotin_supplement_can_two,neutral,neutral,1
biotin,biotin_supplement_can_three,neutral,neutral,1
biotin,biotin_supplement_can_four,neutral,neutral,1
biotin,biotin_supplement_can_five,neutral,neutral,1
biotin,folic_acid_and_biotin,neutral,neutral,1
bisglycinate,bisglycinate_chelate,neutral,neutral,1
bison,bison,good,good,34
bison_liver,bison_liver,neutral,neutral,1
bison_meal,bison_meal,neutral,neutral,5
bison_tripe,bison_tripe,neutral,neutral,1
black,black,neutral,neutral,1
black_beans,black_beans,neutral,neutral,2
black_malted,black_malted_barley,neutral,neutral,3
black_pepper,black_pepper,neutral,neutral,11
black_peppercorn,black_peppercorn,neutral,neutral,1
black_soldier,black_soldier_fly_larvae,neutral,neutral,1
blackberries,blackberries,neutral,neutral,14
blackberry,blackberry,neutral,neutral,1
blackstrap_molasses,blackstrap_molasses,neutral,neutral,3
blood,blood,neutral,neutral,1
blood_meal,blood_meal_conventionally_dried,neutral,neutral,10
blood_meal,blood_meal,neutral,neutral,9
blue_#1,blue_#1,caution,caution,47
blue_#2,blue_#2,caution,caution,87
blue_1,blue_1_lake,caution,caution,6
blue_2,blue_2_lake,caution,caution,3
blue_catfish,blue_catfish,neutral,neutral,3
blue_lake,blue_lake_1,neutral,neutral,1
blue_no,blue_no_1,neutral,neutral,4
blue_whiting,blue_whiting_meal,neutral,neutral,4
blue_whiting,blue_whiting,neutral,neutral,1
blueberies,blueberies,neutral,neutral,1
blueberry,blueberry,neutral,neutral,76
blueberry,blueberry_powder,neutral,neutral,15
blueberry,blueberry_0.1%,neutral,neutral,4
blueberry,blueberry_fruit_powder,neutral,neutral,3
blueberry,blueberry_flour,neutral,neutral,2
blueberry,blueberry_extract,neutral,neutral,2
blueberry,whey_dried_blueberries,neutral,neutral,1
boar,boar,neutral,neutral,5
bok_choy,bok_choy,neutral,neutral,3
bone_broth,bone_broth,neutral,neutral,5
bone_charcoal,bone_charcoal,neutral,neutral,3
bone_meal,bone_meal,neutral,neutral,1
boneless_chicken,boneless_chicken,neutral,neutral,9
bones,bones,neutral,neutral,1
bonito,bonito,neutral,neutral,8
bonito_flakes,bonito_flakes,neutral,neutral,17
botani,botani,neutral,neutral,1
botanifits,botanifits,neutral,neutral,1
bovine,bovine,neutral,neutral,1
bovine_colostrum,bovine_colostrum,neutral,neutral,10
bovine_plasma,bovine_plasma,neutral,neutral,9
bream,bream,neutral,neutral,2
brewer_dried,brewer_dried_yeast,neutral,neutral,1
brewers_rice,brewers_rice_flour,neutral,caution,9
brewer’s_liquid,brewer’s_liquid_yeast,neutral,neutral,5
brewer’s_yeast,brewer’s_yeast,neutral,neutral,483
broccoli_sprouts,broccoli_sprouts,neutral,neutral,5
brocolli,brocolli,neutral,neutral,1
bromelain,bromelain,neutral,neutral,1
broth,broth,neutral,neutral,7
broth;_chicken,broth;_chicken_breast,neutral,neutral,1
broth;_tuna,broth;_tuna_fillet,neutral,neutral,4
broth_licious,broth_licious_beef_&_green_bean_in_bone_broth___beef_broth,neutral,neutral,1
brothl_chicken,brothl_chicken_breast,neutral,neutral,1
brown_caramel,brown_caramel_color,caution,caution,3
brown_rice,brown_rice_flour,good,neutral,31
brown_rice,brown_rice_syrup,neutral,neutral,2
brown_sugar,brown_sugar,caution,caution,18
brussels_sprouts,brussels_sprouts,neutral,neutral,1
buckwheat,buckwheat,neutral,neutral,1
buckwheat_flour,buckwheat_flour,neutral,neutral,2
buffalo,buffalo,neutral,neutral,1
buffalo_meal,buffalo_meal,neutral,neutral,2
buffered_vinegar,buffered_vinegar,neutral,neutral,9
buffered_white,buffered_white_distilled_vinegar,neutral,neutral,7
bully_stick,bully_stick,neutral,neutral,1
burdock,burdock,neutral,neutral,1
butternut_squash,butternut_squash,neutral,neutral,82
butylated_hydroxy,butylated_hydroxy_anisole,neutral,neutral,1
by_product,by_product_meal_or_artificial_colors_or_preservatives,caution,caution,1
byproduct_meal,byproduct_meal,neutral,neutral,1
cabbage,cabbage,neutral,neutral,24
caciumiodate,caciumiodate,neutral,neutral,1
cage_free,cage_free_chicken,neutral,neutral,3
cage_free,cage_free_turkey,neutral,neutral,2
cage_free,cage_free_eggs,neutral,neutral,2
cage_free,cage_free_duck,neutral,neutral,1
calamari,calamari,neutral,neutral,8
calamari_broth,calamari_broth,neutral,neutral,3
calamari_consommé,calamari_consommé,neutral,neutral,1
calci_um,calci_um_sulfate,neutral,neutral,1
calcium,calcium_lactate,neutral,neutral,217
calcium,calcium_chloride,neutral,neutral,109
calcium,calcium_gluconate,neutral,neutral,33
calcium,calcium_panthotenate,neutral,neutral,19
calcium,calcium_phosphate,neutral,neutral,16
calcium,calcium_lodate,neutral,neutral,12
calcium,calcium_sulfate_dihydrate,neutral,neutral,7
calcium,calcium_alginate,neutral,neutral,4
calcium,calcium_pantothnate,neutral,neutral,4
calcium,tricalcium_hosphate,neutral,neutral,1
calcium,dicalcium_phophate,neutral,neutral,1
calcium,calcium_hydrophosphate,neutral,neutral,1
calcium,sorbitol_calcium_sulfate,neutral,neutral,1
calcium,calcium_lacate,neutral,neutral,1
calcium,calcium_panthothenate,neutral,neutral,1
calcium,seaweed_calcium,neutral,neutral,1
calcium,di_calcium_phosphate,neutral,neutral,1
calciumsulfate,calciumsulfate,neutral,neutral,1
can_five,can_five,neutral,neutral,1
can_four,can_four,neutral,neutral,1
can_one,can_one,neutral,neutral,9
can_six,can_six,neutral,neutral,1
can_three,can_three,neutral,neutral,1
can_two,can_two,neutral,neutral,1
cane_molasses,cane_molasses,caution,caution,197
cane_molasses,cane_molasses_andca,caution,caution,1
cane_sugar,cane_sugar,caution,caution,72
canine_oral,canine_oral_health_postbiotic,neutral,neutral,1
canola_lecithin,canola_lecithin,neutral,neutral,5
canola_meal,canola_meal,neutral,neutral,40
canthaxanthin,canthaxanthin,neutral,neutral,10
capsanthin,capsanthin,neutral,neutral,1
carageenan,carageenan,neutral,neutral,2
caramel_clay,caramel_clay,neutral,neutral,1
caramelized_sugar,caramelized_sugar,caution,caution,2
cardamom,cardamom,neutral,neutral,1
carmine,carmine,neutral,neutral,40
carmine_color,carmine_color,neutral,neutral,19
carnauba_wax,carnauba_wax,neutral,neutral,9
carob,carob,neutral,neutral,2
carob_bean,carob_bean_gum,neutral,neutral,11
carob_flour,carob_flour,neutral,neutral,1
carob_gum,carob_gum,neutral,neutral,1
carob_powder,carob_powder,neutral,neutral,3
carotene,carotene,neutral,neutral,12
carotenoid,astaxanthin,neutral,neutral,5
carotenoid,lutein,neutral,neutral,2
carrageenan_guar,carrageenan_guar_gum,caution,caution,2
carrgeenan,carrgeenan,neutral,neutral,1
carrot,carrot,neutral,neutral,126
carrot_11%,carrot_11%,neutral,neutral,1
carrot_12%,carrot_12%,neutral,neutral,1
carrot_extract,carrot_extract,neutral,neutral,1
carrot_flavor,carrot_flavor,neutral,neutral,1
carrot_fragments,carrot_fragments,neutral,neutral,1
carrot_juice,carrot_juice,neutral,neutral,3
carrot_powder,carrot_powder,neutral,neutral,24
carrots_&,carrots_&_green_beans_&_beef,good,neutral,1
carrots_and,carrots_and_potatoes,good,neutral,1
carrots_chicken,carrots_chicken,good,neutral,1
carrots_sunflower,carrots_sunflower_oil,good,neutral,1
case_of,case_of_16,neutral,neutral,4
case_of,case_of_6,neutral,neutral,3
case_of,case_of_24_variety_packsee_available_options,neutral,neutral,1
case_of,case_of_6_chicken,neutral,neutral,1
case_of,case_of_6_yellowfin_tuna_&_shrimpsee_available_options,neutral,neutral,1
casein,casein,neutral,neutral,6
cassava_flour,cassava_flour,neutral,neutral,7
cassava_root,cassava_root_flour,neutral,neutral,17
cassava_root,cassava_root,neutral,neutral,10
cassava_starch,cassava_starch,neutral,neutral,4
cassava_starch,cassava_starch_2%,neutral,neutral,1
cassia_gum,cassia_gum,neutral,neutral,162
cat,cat,neutral,neutral,1
catfish,catfish,neutral,neutral,9
catfish_meal,catfish_meal,neutral,neutral,19
catfish_oil,catfish_oil,neutral,neutral,7
catnip,catnip,neutral,neutral,22
catnip_flavor,catnip_flavor,neutral,neutral,8
catnip_powder,catnip_powder,neutral,neutral,6
cauliflower,cauliflower,neutral,neutral,12
cauliflower_flour,cauliflower_flour,neutral,neutral,1
cayenne,cayenne,neutral,neutral,1
celery_extract,celery_extract,neutral,neutral,13
celery_juice,celery_juice,neutral,neutral,6
celery_juice,celery_juice_powder,neutral,neutral,2
celery_powder,celery_powder,neutral,neutral,103
celery_root,celery_root,neutral,neutral,4
cellulose,cellulose,neutral,neutral,392
cellulose_fiber,cellulose_fiber,neutral,neutral,6
cellulose_fibre,cellulose_fibre,neutral,neutral,1
cellulose_powder,cellulose_powder,neutral,neutral,6
cereals,cereals,neutral,neutral,1
cesar_simply,cesar_simply_crafted_variety_pack_chicken,neutral,neutral,5
cesar_simply,cesar_simply_crafted_chicken,neutral,neutral,4
ceylon_cinammon,ceylon_cinammon,neutral,neutral,1
chamomile,chamomile,neutral,neutral,27
chamomile_flowers,chamomile_flowers,neutral,neutral,1
chamomile_powder,chamomile_powder,neutral,neutral,1
cheddar,cheddar,neutral,neutral,2
cheddar_cheese,cheddar_cheese,neutral,neutral,14
cheddar_cheese,cheddar_cheese_flavor,neutral,neutral,4
cheddar_cheese,cheddar_cheese_powder,neutral,neutral,3
cheese,cheese,neutral,neutral,145
cheese_creamy,cheese_creamy_dairy_chicken_byproduct_meal,neutral,neutral,1
cheese_flavor,cheese_flavor_whole_wheat_flour,neutral,caution,1
cheese_powder,cheese_powder,neutral,neutral,30
cheese_product,cheese_product,neutral,neutral,8
cheese_savory,cheese_savory_salmon_chicken_byproduct_meal,neutral,neutral,1
cheese_seafood,cheese_seafood_medley_chicken_byproduct_meal,neutral,neutral,2
cheese_tantalizing,cheese_tantalizing_turkey_chicken_byproduct_meal,neutral,neutral,1
cheese_tempting,cheese_tempting_tuna_chicken_byproduct_meal,neutral,neutral,4
chemicals,chemicals,neutral,neutral,1
cherries,cherries,neutral,neutral,20
cherry,cherry,neutral,neutral,3
cherry_extract,cherry_extract,neutral,neutral,2
chestnut_extract,chestnut_extract,neutral,neutral,1
chia,chia,neutral,neutral,12
chia_oil,chia_oil,neutral,neutral,2
chia_seed,chia_seed,neutral,neutral,65
chia_seed,chia_seed_oil,neutral,neutral,1
chicekn_liver,chicekn_liver,neutral,neutral,1
chick_peas,chick_peas,neutral,neutral,5
chicken_&,chicken_&_vegetables_entrée_slices:water,neutral,neutral,1
chicken_&,chicken_&_lamb_61_calories_per_can,neutral,neutral,1
chicken_&,chicken_&_duck_59_calories_per_can,neutral,neutral,1
chicken_&,chicken_&_tuna_recipe_x6_pouches___tuna_broth,neutral,neutral,1
chicken_&,chicken_&_beef_recipe_in_chicken_broth__chicken_broth,neutral,neutral,1
chicken_30%,chicken_30%,neutral,neutral,1
chicken_55%,chicken_55%,neutral,neutral,1
chicken_65%,chicken_65%,neutral,neutral,2
chicken_66,chicken_66_calories_per_can,neutral,neutral,1
chicken_albumin,chicken_albumin,neutral,neutral,1
chicken_and,chicken_and_salmon_broth,neutral,neutral,2
chicken_and,chicken_and_beef_broth,neutral,neutral,2
chicken_and,chicken_and_lamb_broth,neutral,neutral,1
chicken_and,chicken_and_tuna_broth,neutral,neutral,1
chicken_bone,chicken_bone_broth,neutral,neutral,83
chicken_bone,chicken_bone,neutral,neutral,7
chicken_breast,chicken_breast,neutral,neutral,33
chicken_broth,chicken_broth,neutral,neutral,801
chicken_broth,chicken_broth_35%,neutral,neutral,3
chicken_by,chicken_by_products,neutral,neutral,42
chicken_by,chicken_by_product,neutral,neutral,18
chicken_cartilage,chicken_cartilage,neutral,neutral,27
chicken_catilage,chicken_catilage,neutral,neutral,1
chicken_entre,chicken_entre_with_sweet_potatoes_and_broccoli_chicken,neutral,neutral,1
chicken_entre,chicken_entre_water,neutral,neutral,1
