id,canonical_name,cluster_id,allergen_group,allergen_group_possible,dog_base_severity,cat_base_severity,is_unnamed_species,is_legume,position_reduction_eligible,cat_carb_flag,display_name,definition,tldr,detail_body,citations_display,position_context,created_at,base_description,dog_context,cat_context,citation_sources,review_status,primary_concern_basis
9de49e26-7247-52c7-8e21-47a6d5eae842,corn_gluten_meal,grain_corn,corn,,neutral,caution,False,False,True,True,Corn Gluten Meal,"Dried residue from corn after removal of starch, germ, and bran — a concentrated plant protein (~60% protein) used as a protein booster.",A corn-derived plant protein concentrate that inflates crude protein percentages. Nutritionally adequate for dogs when combined with animal protein. More concerning for cats because it provides zero taurine and an amino acid profile poorly matched to obligate carnivore requirements.,"Corn gluten meal is the protein fraction remaining after corn starch extraction. At ~60% protein, it's an efficient way to boost the crude protein number on the guaranteed analysis. For dogs, it's a digestible protein source with adequate (though not optimal) amino acid balance when combined with animal proteins. It is not the same as ""corn"" or ""ground corn"" — it's a processed concentrate. For cats, the concern is more specific: corn gluten meal is deficient in taurine (which cats cannot synthesize adequately from precursors), methionine, and lysine. When it appears high on a cat food ingredient list, it signals that a significant portion of the reported protein is plant-based — less biologically available for obligate carnivores. It also contributes to the carbohydrate load when considered alongside other corn-derived ingredients (corn, corn starch, corn flour), which may be split across the label.","AAFCO Official Publication, Definition 21.3; NRC 2006, Ch. 4; Plantinga EA et al., Br J Nutr, 2011;106:S35–48 (ancestral feline diet)",This ingredient's impact depends on how much is used. Listed lower on the label = less concern.,2026-02-27T12:33:11.001583+00:00,,,,,,
695aeda0-32d7-5ff7-aa31-7bc8779d1dec,animal_digest,,,"['chicken', 'beef', 'pork', 'lamb', 'fish']",caution,caution,True,False,True,False,Animal Digest,Material produced by chemical or enzymatic hydrolysis of unnamed animal tissue — used as a palatability enhancer (flavoring).,"A flavor coating sprayed on kibble to make it appealing. The species isn't named, which means the same pentobarbital and traceability concerns as generic ""meat meal."" Usually present in small amounts near the bottom of the ingredient list, where its impact is minimal — but its presence signals cost-optimized formulation.","Animal digest is produced by treating unnamed animal tissue with heat, enzymes, or acid to break proteins into smaller peptides and amino acids that have intense flavor. It's typically sprayed onto the outside of kibble as a palatability enhancer. AAFCO's definition permits any non-decomposed mammalian or poultry tissue that hasn't been specified — meaning you don't know which animal(s) contributed. The FDA's pentobarbital surveys detected the euthanasia drug in pet food products, and generic rendered ingredients like animal digest are a suspected vector. When listed low on the ingredient list (after the first 10 ingredients), the quantity is small enough that the practical risk is minimal. Named alternatives like ""chicken liver digest"" provide the same palatability function with species traceability.","AAFCO Official Publication, Definition 9.22; FDA CVM Pentobarbital Survey, 2002; Aldrich G, Petfood Industry, 2006; Dust JM et al., J Anim Sci, 2005;83:2860–71 (palatability and digestibility)",This ingredient's impact depends on how much is used. Listed lower on the label = less concern.,2026-02-27T12:33:11.001583+00:00,,,,,,
f3c3ad88-bdf6-53ef-a078-42ad984088fd,salmon_meal,protein_salmon,fish,,good,good,False,False,True,False,Salmon Meal,"Salmon tissue ground and rendered to remove moisture, producing a concentrated protein source rich in omega-3 fatty acids.","A concentrated, named fish protein. Rendered salmon with ~3x the protein density of fresh salmon. Retains omega-3 fatty acids (EPA/DHA).","Salmon meal is produced by cooking salmon tissue at high temperature to drive off moisture and fat, yielding a dry powder with approximately 60-65% protein. AAFCO defines it as the clean, dried, ground tissue of undecomposed whole salmon or salmon cuttings. The named species provides full traceability. Retains meaningful levels of EPA and DHA omega-3 fatty acids even after rendering.","AAFCO Official Publication; NRC Nutrient Requirements of Dogs and Cats, 2006, Ch. 11",This ingredient's impact depends on how much is used. Higher on the label = more benefit.,2026-02-27T12:33:11.001583+00:00,,,,,,
198ae53c-60de-5e3e-9cb1-2376468fbcaa,poultry_byproduct_meal,,,"['chicken', 'turkey', 'duck']",neutral,neutral,True,False,True,False,Poultry By-Product Meal,"Ground, rendered product from slaughtered poultry (chicken, turkey, duck) including necks, feet, undeveloped eggs, and intestines.","Similar to chicken by-product meal but from unspecified poultry species. Nutritionally adequate — contains nutrient-dense organ meats. ""Poultry"" is less specific than ""chicken"" but still excludes non-poultry mammals, providing reasonable traceability. Rated beneficial because the ingredient class is well-defined by AAFCO even without a single-species name.","Poultry by-product meal follows the same AAFCO definition as chicken by-product meal but permits multiple poultry species (chicken, turkey, duck) within a single batch. The organ meat content (liver, heart, gizzard) makes it nutritionally dense, and the poultry species restriction provides better traceability than generic ""meat meal"" (which could be any mammal). The quality concern is batch variability — a manufacturer might use turkey by-products in one batch and chicken in the next, making the amino acid and fatty acid profiles less consistent. For most healthy dogs and cats, this variability is nutritionally insignificant. For pets with specific poultry allergies (e.g., confirmed chicken allergy), the multi-species ambiguity could be problematic.","AAFCO Official Publication, Definition 9.71; Aldrich G, Petfood Industry, 2006; Johnson ML et al., J Anim Sci, 1998;76:1112–22 (poultry by-product digestibility)","This ingredient's impact depends on how much is used. Higher on the label = more protein contribution, but multi-species sourcing limits traceability.",2026-02-27T12:33:11.001583+00:00,,,,,,
9c85eb91-01ad-51e7-9c48-661bae90b9d2,corn,grain_corn,corn,,neutral,caution,False,False,True,True,Corn (ground/whole),Whole or ground corn kernel — a starch-heavy grain providing energy (carbohydrate) with moderate protein and low fat.,"Dogs: a perfectly acceptable energy source when properly processed. Corn allergies in dogs are real but less common than beef, dairy, or chicken allergies. Cats: more concerning because it contributes to the carbohydrate load that obligate carnivores process inefficiently. Watch for corn appearing under multiple names on the same label (corn, corn gluten meal, corn starch) — a sign of ingredient splitting.","Corn is one of the most debated pet food ingredients, largely due to marketing rather than science. For dogs, controlled studies show properly processed corn is highly digestible (>90% starch digestibility) and a cost-effective energy source. The idea that corn is nutritionally empty is oversimplified — it provides energy, essential fatty acids (linoleic acid), and some protein, though its amino acid profile is incomplete for pets as a sole protein source. Dog food allergies to corn exist but are less prevalent than allergies to beef, dairy, chicken, wheat, and soy (Mueller et al., 2016). For cats, the concern is more legitimate: cats as obligate carnivores have limited amylase activity and lack hepatic glucokinase for efficient carbohydrate metabolism. High-corn formulations push carbohydrate content above optimal ranges for cats, which is associated with obesity and diabetes risk. Corn is also a common ingredient splitting target — appearing as corn, corn gluten meal, corn starch, and corn flour across the same label.","Mueller RS et al., BMC Vet Res, 2016;12:9, DOI: 10.1186/s12917-016-0633-8; de-Oliveira LD et al., Anim Feed Sci Technol, 2008;145:365–73; NRC 2006, Ch. 3",This ingredient's impact depends on how much is used. Listed lower on the label = less concern.,2026-02-27T12:33:11.001583+00:00,,,,,,
b2a2da1c-d4bf-543e-a5a2-62a281b91815,wheat,grain_wheat,wheat,,neutral,caution,False,False,True,True,Wheat (ground/whole),Ground wheat grain — a carbohydrate and moderate protein source with higher allergenicity than rice or corn in dogs.,"A functional grain but with higher documented allergenicity than rice or corn for dogs. For cats, adds to the carbohydrate load with no nutritional advantage over animal-source calories. Wheat gluten (a separate ingredient) is sometimes used as a protein booster, compounding the concern.","Wheat provides energy (starch), moderate protein (~12%), and B vitamins. In the pet food allergen literature, wheat consistently ranks among the top allergens for dogs — behind beef, dairy, and chicken, but ahead of rice and corn (Mueller et al., 2016). True wheat allergy (IgE-mediated) should be distinguished from wheat sensitivity or intolerance, which may present as GI upset rather than dermatological signs. For cats, wheat contributes carbohydrate load without the omega-3 or taurine that animal-source ingredients provide. Wheat gluten (a separate, more processed ingredient) is sometimes used as a plant protein booster, similar to corn gluten meal. Irish Setter hereditary gluten-sensitive enteropathy is a rare documented condition specific to that breed.","Mueller RS et al., BMC Vet Res, 2016;12:9; Garden OA et al., J Vet Intern Med, 2000;14:68–74 (Irish Setter gluten enteropathy)",This ingredient's impact depends on how much is used. Listed lower on the label = less concern.,2026-02-27T12:33:11.001583+00:00,,,,,,
e25e7bfc-a150-5bc0-b197-093d47f30486,dried_peas,legume_pea,pea,,caution,caution,False,True,True,False,Dried Peas,"Whole dried peas — a legume providing carbohydrate, moderate protein, and dietary fiber.","Linked to the FDA's DCM (heart disease) investigation in dogs when used as a primary ingredient in grain-free diets. The mechanism remains under investigation. Peas also appear under multiple names (dried peas, pea protein, pea starch, pea fiber) — a common ingredient splitting pattern that may mask how much legume is actually in the formula.","Dried peas became a staple in grain-free pet foods as a replacement for corn, wheat, and rice. The FDA's ongoing DCM investigation (2018–present) identified peas, lentils, and potatoes as recurring ingredients in diets associated with dilated cardiomyopathy reports in dog breeds not typically predisposed to the condition. The hypothesized mechanisms include: (1) reduced taurine bioavailability due to legume fiber binding bile acids, (2) lower methionine/cysteine content reducing taurine synthesis, and (3) potential direct cardiotoxicity from unidentified legume compounds. The investigation has not established causation, but the statistical association is strong enough to warrant caution, particularly when legumes dominate the top 5 ingredients. Peas are frequently split across the label as dried peas, pea protein, pea starch, and pea fiber — combined, these may represent a larger proportion of the formula than any single listing suggests.","FDA CVM DCM Investigation, 2018–present; Freeman LM et al., JAVMA, 2018;253(11):1390–94; Adin D et al., J Vet Intern Med, 2021;35(5):2209–2216",This ingredient's impact depends on how much is used. Listed lower on the label = less concern.,2026-02-27T12:33:11.001583+00:00,,,,,,
90036b6e-8720-41ed-92c1-11bfe671f1de,dried_egg_whites,,,,neutral,neutral,False,False,False,False,Dried Egg Whites,,,,,,2026-03-06T23:34:16.126378+00:00,,,,,,
50128cfc-e721-4302-8ca1-d7c2e24a0907,modified_tapioca_starch,,,,neutral,neutral,False,False,False,False,Modified Tapioca Starch,,,,,,2026-03-06T23:34:16.126378+00:00,,,,,,
f4889fe4-c691-4da0-8fe9-cb7fa2ffb15e,minerals,,,,neutral,neutral,False,False,False,False,"Minerals (Magnesium Sulfate, Potassium Chloride, Calcium Carbonate, Zinc Sulfate, Manganese Sulfate, Copper Sulfate, Potassium Iodide)",,,,,,2026-03-06T23:34:16.126378+00:00,,,,,,
e674542e-623b-436e-80fb-822866f97f4c,wheat_gluten,grain_wheat,,,neutral,caution,False,False,True,False,Wheat Gluten,,,,,,2026-03-06T23:34:16.126378+00:00,,,,,,
51224c2c-e539-4f2f-b169-a55bac1c2a5c,vitamins,,,,neutral,neutral,False,False,False,False,"Vitamins (Choline Chloride, Vitamin E Supplement, Niacin, Pyridoxine Hydrochloride, Thiamine Mononitrate, Vitamin A Supplement, D-Calcium Pantothenate, Riboflavin Supplement, Vitamin B12 Supplement, Vitamin D3 Supplement, Biotin, Folic Acid)",,,,,,2026-03-06T23:34:16.126378+00:00,,,,,,
5f6d59f1-fdaa-5524-a446-bd60655df967,lentils,,lentil,,caution,caution,False,True,True,False,Lentils,"Whole or split dried lentils — a legume providing carbohydrate, protein, and fiber, commonly used in grain-free formulations.","Same FDA DCM investigation concerns as dried peas. Lentils are a legume class ingredient frequently found in grain-free diets associated with heart disease reports in dogs. Combined with other legumes (peas, chickpeas) in the same formula, they may contribute to cumulative legume load.","Lentils share the same DCM investigation concerns as dried peas and chickpeas. They appear in the FDA's dataset of diet-associated DCM reports as a common ingredient in implicated formulas. Lentils provide moderate protein (~25%) and fiber but with lower biological value than animal protein for both dogs and cats. The taurine-interference hypothesis applies equally: legume fiber may bind bile acids in the gut, reducing taurine reabsorption and increasing fecal taurine loss. The practical concern is cumulative legume load — a formula containing lentils, peas, AND chickpeas may have 40–60% of its dry matter from legumes, even if no single legume dominates the ingredient list.","FDA CVM DCM Investigation, 2018–present; Freeman LM et al., JAVMA, 2018;253(11):1390–94",This ingredient's impact depends on how much is used. Listed lower on the label = less concern.,2026-02-27T12:33:11.001583+00:00,,,,,,
a75f5440-2e8c-51d7-b6a2-b866d90dce03,chickpeas,,chickpea,,caution,caution,False,True,True,False,Chickpeas (Garbanzo Beans),"Whole or ground chickpeas — a legume providing carbohydrate, moderate protein, and fiber.","Part of the legume class flagged in the FDA's DCM investigation. Same concerns as dried peas and lentils. Often appears alongside other legumes in grain-free formulations, contributing to cumulative legume load.","Chickpeas are the third major legume (alongside peas and lentils) implicated in the FDA's diet-associated DCM investigation. They serve as a grain replacement in grain-free formulations, providing starch, moderate protein, and fiber. The DCM concern is class-wide for legumes rather than specific to chickpeas — the cumulative amount of legumes in the formula matters more than which specific legume is used. When multiple legume ingredients appear in the same formula — for example, chickpeas alongside peas and pea protein — the cumulative legume load may be substantial even if no single legume dominates. The DCM advisory applies when 3 or more legume-class ingredients appear in the top 7 positions of a dog food.","FDA CVM DCM Investigation, 2018–present; Freeman LM et al., JAVMA, 2018;253(11):1390–94",This ingredient's impact depends on how much is used. Listed lower on the label = less concern.,2026-02-27T12:33:11.001583+00:00,,,,,,
5b932928-e7f0-55c2-b37e-c41d3efee3cb,brown_rice,grain_rice,,,good,neutral,False,False,True,True,Brown Rice,Whole grain rice with the bran layer intact — a highly digestible carbohydrate with B vitamins and minerals.,"The reference grain in veterinary nutrition — well-studied, highly digestible (>95% starch digestibility), and not associated with DCM. Dogs: genuinely beneficial as an energy source. Cats: neutral because it's still carbohydrate that an obligate carnivore doesn't need, but it's among the least problematic grain options.","Brown rice is the benchmark carbohydrate in veterinary nutrition. It has the longest safety record, highest digestibility among common grains (>95% starch availability after processing), and is not implicated in the FDA DCM investigation. The bran layer provides B vitamins, manganese, and some fiber that white/brewers rice lacks. For dogs, it's a well-tolerated energy source that rarely triggers allergic responses (Mueller et al., 2016 ranked it below beef, dairy, chicken, wheat, and soy for allergenicity). For cats, it's neutral rather than beneficial — cats derive energy more efficiently from protein and fat, and any grain adds carbohydrate load. However, if a cat food must include a grain (for kibble structure, cost, or fiber), brown rice is among the best options available.","Mueller RS et al., BMC Vet Res, 2016;12:9; de-Oliveira LD et al., Anim Feed Sci Technol, 2008;145:365–73",This ingredient's impact depends on how much is used. A moderate amount provides beneficial energy; excessive amounts displace animal protein.,2026-02-27T12:33:11.001583+00:00,,,,,,
05e1422c-c350-53f2-9f91-9450439a8849,tapioca_starch,,,,neutral,caution,False,False,True,True,Tapioca Starch,"Extracted starch from cassava root — a pure carbohydrate binder with virtually no protein, fat, vitamins, or minerals.","Nutritionally empty — pure starch with zero protein, fat, or micronutrients. Used as a binder to hold kibble together. Dogs: harmless in small amounts. Cats: adds to carbohydrate load without providing anything an obligate carnivore needs.","Tapioca starch is the purified starch from cassava (Manihot esculenta). It's used in grain-free formulations as a binding agent for kibble structure. Unlike whole grains (which contribute some protein, fiber, and micronutrients alongside starch), tapioca starch is essentially pure carbohydrate — it provides calories and structural function but zero nutritional value beyond energy. For dogs, it's a benign binder when used in small amounts as a kibble binder (typically listed in positions 8–15+). For cats, any pure starch ingredient pushes the carbohydrate ratio higher without offsetting nutritional contribution. The concern escalates when tapioca starch appears in the top 5 ingredients, indicating it's a significant portion of the formula.","AAFCO Official Publication; Carciofi AC et al., Anim Feed Sci Technol, 2008;142:283–96",This ingredient's impact depends on how much is used. Listed lower on the label = less concern.,2026-02-27T12:33:11.001583+00:00,,,,,,
4ae8adc3-4cbe-4ba2-86e4-376fa7e42da7,rice_bran,,,,neutral,neutral,False,False,False,False,Rice Bran,,,,,,2026-03-06T23:34:16.126378+00:00,,,,,,
6dcd460d-5967-41c0-9d4c-7927ccac40ae,chia_seed,,,,neutral,neutral,False,False,False,False,Chia Seed,,,,,,2026-03-06T23:34:16.126378+00:00,,,,,,
8e1a4ba8-47ba-429d-a7f9-198b086301ff,oranges,,,,neutral,neutral,False,False,False,False,Oranges,,,,,,2026-03-06T23:34:16.126378+00:00,,,,,,
b069d5ba-60db-438c-b82d-9bfc6aa4a492,artificial_beef_flavor,,beef,,caution,caution,False,False,False,False,Artificial Beef Flavor,,,,,,2026-03-06T23:40:26.72954+00:00,,,,,,
45d17b94-74f0-4c34-8a67-bb53ebd03d20,marigold_extract,,,,neutral,neutral,False,False,False,False,Marigold Extract (Tagetes Erecta L.),,,,,,2026-03-06T23:34:16.418319+00:00,,,,,,
f625c598-c928-4757-9cd2-2481d68b5c93,dried_yeast,,,,good,good,False,False,False,False,Dried Yeast,,,,,,2026-03-06T23:34:16.126378+00:00,,,,,,
880c3b90-5f55-4b91-b558-533c1cb3ce0d,bacon,,pork,,neutral,neutral,False,False,False,False,Bacon,,,,,,2026-03-06T23:34:16.418319+00:00,,,,,,
251953b9-2fd3-42cf-bc54-d01601367f21,hearty_cuts_with_real_beef__chicken_in_gravy,,,,neutral,neutral,False,False,False,False,Hearty Cuts with Real Beef & Chicken In Gravy,,,,,,2026-03-07T01:12:09.689128+00:00,,,,,,
cb1b7132-6a11-51eb-8768-1e8643611fcb,chicken_fat,protein_chicken,chicken,,good,good,False,False,True,False,Chicken Fat,Rendered fat from chicken tissue — a named animal fat rich in linoleic acid (omega-6) with a favorable fatty acid profile.,"A high-quality, named fat source. The species name (""chicken"") matters — it means the source is traceable, unlike generic ""animal fat."" Provides essential linoleic acid and concentrated energy. Preserved with mixed tocopherols (vitamin E) in quality formulations.","Chicken fat is a named animal fat with a well-characterized fatty acid profile: high in linoleic acid (omega-6 essential fatty acid), moderate in oleic acid, and with a favorable omega-6:omega-3 ratio for pets. The named species provides supply chain traceability that generic ""animal fat"" cannot. Fat is the most energy-dense macronutrient (9 kcal/g vs 4 kcal/g for protein and carbs), making chicken fat an efficient energy source. Quality manufacturers preserve chicken fat with mixed tocopherols (vitamin E) or rosemary extract rather than synthetic antioxidants like BHA/BHT. Chicken fat is considered beneficial for both dogs and cats — it's a natural, species-appropriate energy and essential fatty acid source.","NRC Nutrient Requirements of Dogs and Cats, 2006, Ch. 11; AAFCO Official Publication, Definition 9.73",This ingredient's impact depends on how much is used. Higher on the label = more benefit as an energy source.,2026-02-27T12:33:11.001583+00:00,,,,,,
e50ac8c3-2933-527b-9dc1-ae06960aedc2,animal_fat,,,"['chicken', 'beef', 'pork', 'lamb']",caution,caution,True,False,True,False,Animal Fat (generic/unnamed),Rendered fat from unnamed mammalian sources — the species is not specified.,"Same traceability concerns as ""meat meal"" — you don't know which animal the fat came from. AAFCO allows it from any mammalian source. The FDA's pentobarbital investigations included rendered fat as a potential vector. Named alternatives (chicken fat, beef tallow, salmon oil) exist and are widely available.","AAFCO defines animal fat as ""obtained from the tissues of mammals and/or poultry in the commercial processes of rendering or extracting."" The missing species name means the fat could come from any combination of cattle, pigs, sheep, poultry, or restaurant grease. The same pentobarbital contamination concerns that apply to generic meat meal apply here — the FDA found low levels of the euthanasia drug in some rendered animal products. Additionally, unnamed fat sources have inconsistent fatty acid profiles batch-to-batch, which affects the overall omega-6:omega-3 balance of the formula. Named fat sources (chicken fat, beef tallow, pork lard, fish oil) provide consistent profiles and supply chain traceability.","AAFCO Official Publication, Definition 9.8; FDA CVM Pentobarbital Survey, 2002",This ingredient's impact depends on how much is used. Listed lower on the label = less concern.,2026-02-27T12:33:11.001583+00:00,,,,,,
